Date and Time,Travel Time,Travel Minutes,State
2024-11-20 00:00:00,1 hour 27 mins,87,Low
2024-11-20 00:10:00,1 hour 28 mins,88,Low
2024-11-20 00:20:00,1 hour 28 mins,88,Low
2024-11-20 00:30:00,1 hour 28 mins,88,Low
2024-11-20 00:40:00,1 hour 28 mins,88,Low
2024-11-20 00:50:00,1 hour 28 mins,88,Low
2024-11-20 01:00:00,1 hour 28 mins,88,Low
2024-11-20 01:10:00,1 hour 28 mins,88,Low
2024-11-20 01:20:00,1 hour 27 mins,87,Low
2024-11-20 01:30:00,1 hour 28 mins,88,Low
2024-11-20 01:40:00,1 hour 28 mins,88,Low
2024-11-20 01:50:00,1 hour 27 mins,87,Low
2024-11-20 02:00:00,1 hour 29 mins,89,Low
2024-11-20 02:10:00,1 hour 28 mins,88,Low
2024-11-20 02:20:00,1 hour 29 mins,89,Low
2024-11-20 02:30:00,1 hour 27 mins,87,Low
2024-11-20 02:40:00,1 hour 27 mins,87,Low
2024-11-20 02:50:00,1 hour 28 mins,88,Low
2024-11-20 03:00:00,1 hour 29 mins,89,Low
2024-11-20 03:10:00,1 hour 29 mins,89,Low
2024-11-20 03:20:00,1 hour 29 mins,89,Low
2024-11-20 03:30:00,1 hour 28 mins,88,Low
2024-11-20 03:40:00,1 hour 28 mins,88,Low
2024-11-20 03:50:00,1 hour 26 mins,86,Low
2024-11-20 04:00:00,1 hour 26 mins,86,Low
2024-11-20 04:10:00,1 hour 24 mins,84,Low
2024-11-20 04:20:00,1 hour 24 mins,84,Low
2024-11-20 04:30:00,1 hour 25 mins,85,Low
2024-11-20 04:40:00,1 hour 25 mins,85,Low
2024-11-20 04:50:00,1 hour 25 mins,85,Low
2024-11-20 05:00:00,1 hour 26 mins,86,Low
2024-11-20 05:10:00,1 hour 25 mins,85,Low
2024-11-20 05:20:00,1 hour 25 mins,85,Low
2024-11-20 05:30:00,1 hour 26 mins,86,Low
2024-11-20 05:40:00,1 hour 26 mins,86,Low
2024-11-20 05:50:00,1 hour 28 mins,88,Low
2024-11-20 06:00:00,1 hour 32 mins,92,Low
2024-11-20 06:10:00,1 hour 38 mins,98,Medium
2024-11-20 06:20:00,1 hour 42 mins,102,High
2024-11-20 06:30:00,1 hour 47 mins,107,High
2024-11-20 06:40:00,1 hour 49 mins,109,High
2024-11-20 06:50:00,1 hour 51 mins,111,High
2024-11-20 07:00:00,1 hour 51 mins,111,High
2024-11-20 07:10:00,1 hour 49 mins,109,High
2024-11-20 07:20:00,1 hour 48 mins,108,High
2024-11-20 07:30:00,1 hour 45 mins,105,High
2024-11-20 07:40:00,1 hour 42 mins,102,High
2024-11-20 07:50:00,1 hour 41 mins,101,Medium
