Date and Time,Travel Time,Travel Minutes,State
2024-12-10 00:00:00,1 hour 28 mins,88,Low
2024-12-10 00:10:00,1 hour 28 mins,88,Low
2024-12-10 00:20:00,1 hour 27 mins,87,Low
2024-12-10 00:30:00,1 hour 26 mins,86,Low
2024-12-10 00:40:00,1 hour 26 mins,86,Low
2024-12-10 00:50:00,1 hour 28 mins,88,Low
2024-12-10 01:00:00,1 hour 27 mins,87,Low
2024-12-10 01:10:00,1 hour 28 mins,88,Low
2024-12-10 01:20:00,1 hour 28 mins,88,Low
2024-12-10 01:30:00,1 hour 27 mins,87,Low
2024-12-10 01:40:00,1 hour 29 mins,89,Low
2024-12-10 01:50:00,1 hour 28 mins,88,Low
2024-12-10 02:00:00,1 hour 27 mins,87,Low
2024-12-10 02:10:00,1 hour 26 mins,86,Low
2024-12-10 02:20:00,1 hour 26 mins,86,Low
2024-12-10 02:30:00,1 hour 27 mins,87,Low
2024-12-10 02:40:00,1 hour 26 mins,86,Low
2024-12-10 02:50:00,1 hour 26 mins,86,Low
2024-12-10 03:00:00,1 hour 24 mins,84,Low
2024-12-10 03:10:00,1 hour 25 mins,85,Low
2024-12-10 03:20:00,1 hour 25 mins,85,Low
2024-12-10 03:30:00,1 hour 24 mins,84,Low
2024-12-10 03:40:00,1 hour 23 mins,83,Low
2024-12-10 03:50:00,1 hour 23 mins,83,Low
2024-12-10 04:00:00,1 hour 22 mins,82,Low
2024-12-10 04:10:00,1 hour 23 mins,83,Low
2024-12-10 04:20:00,1 hour 23 mins,83,Low
2024-12-10 04:30:00,1 hour 23 mins,83,Low
2024-12-10 04:40:00,1 hour 23 mins,83,Low
2024-12-10 04:50:00,1 hour 22 mins,82,Low
2024-12-10 05:00:00,1 hour 23 mins,83,Low
2024-12-10 05:10:00,1 hour 22 mins,82,Low
2024-12-10 05:20:00,1 hour 24 mins,84,Low
2024-12-10 05:30:00,1 hour 24 mins,84,Low
2024-12-10 05:40:00,1 hour 25 mins,85,Low
2024-12-10 05:50:00,1 hour 27 mins,87,Low
2024-12-10 06:00:00,1 hour 30 mins,90,Medium
2024-12-10 06:10:00,1 hour 34 mins,94,High
2024-12-10 06:20:00,1 hour 39 mins,99,High
2024-12-10 06:30:00,1 hour 44 mins,104,High
2024-12-10 06:40:00,1 hour 47 mins,107,High
2024-12-10 06:50:00,1 hour 49 mins,109,High
2024-12-10 07:00:00,1 hour 49 mins,109,High
2024-12-10 07:10:00,1 hour 48 mins,108,High
2024-12-10 07:20:00,1 hour 47 mins,107,High
2024-12-10 07:30:00,1 hour 45 mins,105,High
2024-12-10 07:40:00,1 hour 42 mins,102,High
2024-12-10 07:50:00,1 hour 41 mins,101,High
2024-12-10 08:00:00,1 hour 37 mins,97,High
2024-12-10 08:10:00,1 hour 36 mins,96,High
2024-12-10 08:20:00,1 hour 34 mins,94,High
2024-12-10 08:30:00,1 hour 33 mins,93,Medium
2024-12-10 08:40:00,1 hour 33 mins,93,Medium
2024-12-10 08:50:00,1 hour 33 mins,93,Medium
2024-12-10 09:00:00,1 hour 31 mins,91,Medium
2024-12-10 09:10:00,1 hour 31 mins,91,Medium
2024-12-10 09:20:00,1 hour 31 mins,91,Medium
2024-12-10 09:30:00,1 hour 31 mins,91,Medium
2024-12-10 09:40:00,1 hour 31 mins,91,Medium
2024-12-10 09:50:00,1 hour 31 mins,91,Medium
2024-12-10 10:00:00,1 hour 31 mins,91,Medium
2024-12-10 10:10:00,1 hour 32 mins,92,Medium
2024-12-10 10:20:00,1 hour 32 mins,92,Medium
2024-12-10 10:30:00,1 hour 33 mins,93,Medium
2024-12-10 10:40:00,1 hour 32 mins,92,Medium
2024-12-10 10:50:00,1 hour 32 mins,92,Medium
2024-12-10 11:00:00,1 hour 32 mins,92,Medium
2024-12-10 11:10:00,1 hour 32 mins,92,Medium
2024-12-10 11:20:00,1 hour 32 mins,92,Medium
2024-12-10 11:30:00,1 hour 32 mins,92,Medium
